standard,standard_text,area,rank,model,first_run_accuracy,ensemble_accuracy,n_questions
MS-LS1-2,Develop and use a model to describe the function of a cell as a whole and ways the parts of cells contribute to the function.,MS-LS1,1,Gemma 4 31b,1.0,1.0,9
MS-LS1-3,Use argument supported by evidence for how the body is a system of interacting subsystems composed of groups of cells.,MS-LS1,1,Gemma 3 27b,1.0,1.0,18
MS-LS1-4,Use argument based on empirical evidence and scientific reasoning to support an explanation for how characteristic animal behaviors and specialized plant structures affect the probability of successful reproduction of animals and plants respectively.,MS-LS1,1,Gemma 3 27b,1.0,1.0,12
MS-LS1-5,Construct a scientific explanation based on evidence for how environmental and genetic factors influence the growth of organisms.,MS-LS1,1,Gemma 3 27b,1.0,1.0,10
MS-LS1-6,Construct a scientific explanation based on evidence for the role of photosynthesis in the cycling of matter and flow of energy into and out of organisms.,MS-LS1,1,Gemma 4 31b,1.0,1.0,8
MS-LS1-7,Develop a model to describe how food is rearranged through chemical reactions forming new molecules that support growth and/or release energy as this matter moves through an organism.,MS-LS1,1,Gemma 3 27b,0.9,0.9,10
MS-LS1-8,Gather and synthesize information that sensory receptors respond to stimuli by sending messages to the brain for immediate behavior or storage as memories.,MS-LS1,1,Gemma 3 27b,1.0,1.0,9
MS-LS1-1,Conduct an investigation to provide evidence that living things are made of cells; either one cell or many different numbers and types of cells.,MS-LS1,2,Nemotron 3 Nano 30ba3,1.0,1.0,13
MS-LS1-2,Develop and use a model to describe the function of a cell as a whole and ways the parts of cells contribute to the function.,MS-LS1,2,Granite 3.3 Instruct,1.0,1.0,9
MS-LS1-3,Use argument supported by evidence for how the body is a system of interacting subsystems composed of groups of cells.,MS-LS1,2,Nemotron 3 Nano 30ba3,1.0,1.0,18
MS-LS1-4,Use argument based on empirical evidence and scientific reasoning to support an explanation for how characteristic animal behaviors and specialized plant structures affect the probability of successful reproduction of animals and plants respectively.,MS-LS1,2,Gemma 4 31b,1.0,1.0,12
MS-LS1-5,Construct a scientific explanation based on evidence for how environmental and genetic factors influence the growth of organisms.,MS-LS1,2,Granite 3.3 Instruct,1.0,1.0,10
MS-LS1-6,Construct a scientific explanation based on evidence for the role of photosynthesis in the cycling of matter and flow of energy into and out of organisms.,MS-LS1,2,Llama 3.3 70b,1.0,1.0,8
MS-LS1-7,Develop a model to describe how food is rearranged through chemical reactions forming new molecules that support growth and/or release energy as this matter moves through an organism.,MS-LS1,2,Gemma 4 31b,0.9,0.9,10
MS-LS1-8,Gather and synthesize information that sensory receptors respond to stimuli by sending messages to the brain for immediate behavior or storage as memories.,MS-LS1,2,Llama 3.3 70b,1.0,1.0,9
MS-LS1-1,Conduct an investigation to provide evidence that living things are made of cells; either one cell or many different numbers and types of cells.,MS-LS1,3,OSS 120b,1.0,1.0,13
MS-LS1-2,Develop and use a model to describe the function of a cell as a whole and ways the parts of cells contribute to the function.,MS-LS1,3,Nemotron 3 Nano 30ba3,1.0,1.0,9
MS-LS1-3,Use argument supported by evidence for how the body is a system of interacting subsystems composed of groups of cells.,MS-LS1,3,OSS 120b,1.0,1.0,18
MS-LS1-4,Use argument based on empirical evidence and scientific reasoning to support an explanation for how characteristic animal behaviors and specialized plant structures affect the probability of successful reproduction of animals and plants respectively.,MS-LS1,3,Granite 3.3 Instruct,1.0,1.0,12
MS-LS1-5,Construct a scientific explanation based on evidence for how environmental and genetic factors influence the growth of organisms.,MS-LS1,3,Llama 3.1 8b,1.0,1.0,10
MS-LS1-6,Construct a scientific explanation based on evidence for the role of photosynthesis in the cycling of matter and flow of energy into and out of organisms.,MS-LS1,3,Mistral Small 3.1,1.0,1.0,8
MS-LS1-7,Develop a model to describe how food is rearranged through chemical reactions forming new molecules that support growth and/or release energy as this matter moves through an organism.,MS-LS1,3,OSS 120b,0.9,0.9,10
MS-LS1-8,Gather and synthesize information that sensory receptors respond to stimuli by sending messages to the brain for immediate behavior or storage as memories.,MS-LS1,3,Nemotron 3 Nano 30ba3,1.0,1.0,9
MS-LS1-1,Conduct an investigation to provide evidence that living things are made of cells; either one cell or many different numbers and types of cells.,MS-LS1,4,Gemma 3 27b,0.923,1.0,13
MS-LS1-2,Develop and use a model to describe the function of a cell as a whole and ways the parts of cells contribute to the function.,MS-LS1,4,OSS 120b,1.0,1.0,9
MS-LS1-3,Use argument supported by evidence for how the body is a system of interacting subsystems composed of groups of cells.,MS-LS1,4,Gemma 4 31b,0.944,1.0,18
MS-LS1-4,Use argument based on empirical evidence and scientific reasoning to support an explanation for how characteristic animal behaviors and specialized plant structures affect the probability of successful reproduction of animals and plants respectively.,MS-LS1,4,Nemotron 3 Nano 30ba3,1.0,1.0,12
MS-LS1-5,Construct a scientific explanation based on evidence for how environmental and genetic factors influence the growth of organisms.,MS-LS1,4,Nemotron 3 Nano 30ba3,1.0,1.0,10
MS-LS1-6,Construct a scientific explanation based on evidence for the role of photosynthesis in the cycling of matter and flow of energy into and out of organisms.,MS-LS1,4,Nemotron 3 Nano 30ba3,1.0,1.0,8
MS-LS1-7,Develop a model to describe how food is rearranged through chemical reactions forming new molecules that support growth and/or release energy as this matter moves through an organism.,MS-LS1,4,OSS 20b,0.9,0.9,10
MS-LS1-8,Gather and synthesize information that sensory receptors respond to stimuli by sending messages to the brain for immediate behavior or storage as memories.,MS-LS1,4,OSS 120b,1.0,1.0,9
MS-LS1-1,Conduct an investigation to provide evidence that living things are made of cells; either one cell or many different numbers and types of cells.,MS-LS1,5,Llama 3.3 70b,0.923,1.0,13
MS-LS1-2,Develop and use a model to describe the function of a cell as a whole and ways the parts of cells contribute to the function.,MS-LS1,5,OSS 20b,1.0,1.0,9
MS-LS1-3,Use argument supported by evidence for how the body is a system of interacting subsystems composed of groups of cells.,MS-LS1,5,Llama 3.3 70b,0.944,1.0,18
MS-LS1-4,Use argument based on empirical evidence and scientific reasoning to support an explanation for how characteristic animal behaviors and specialized plant structures affect the probability of successful reproduction of animals and plants respectively.,MS-LS1,5,OSS 120b,1.0,1.0,12
MS-LS1-5,Construct a scientific explanation based on evidence for how environmental and genetic factors influence the growth of organisms.,MS-LS1,5,OSS 120b,1.0,1.0,10
MS-LS1-6,Construct a scientific explanation based on evidence for the role of photosynthesis in the cycling of matter and flow of energy into and out of organisms.,MS-LS1,5,OSS 120b,1.0,1.0,8
MS-LS1-7,Develop a model to describe how food is rearranged through chemical reactions forming new molecules that support growth and/or release energy as this matter moves through an organism.,MS-LS1,5,Nemotron 3 Nano 30ba3,0.9,0.8,10
MS-LS1-8,Gather and synthesize information that sensory receptors respond to stimuli by sending messages to the brain for immediate behavior or storage as memories.,MS-LS1,5,Llama 3.1 8b,0.778,1.0,9
MS-LS1-1,Conduct an investigation to provide evidence that living things are made of cells; either one cell or many different numbers and types of cells.,MS-LS1,6,OSS 20b,0.923,1.0,13
MS-LS1-2,Develop and use a model to describe the function of a cell as a whole and ways the parts of cells contribute to the function.,MS-LS1,6,Gemma 3 27b,0.889,1.0,9
MS-LS1-3,Use argument supported by evidence for how the body is a system of interacting subsystems composed of groups of cells.,MS-LS1,6,Mistral Small 3.1,0.944,1.0,18
MS-LS1-4,Use argument based on empirical evidence and scientific reasoning to support an explanation for how characteristic animal behaviors and specialized plant structures affect the probability of successful reproduction of animals and plants respectively.,MS-LS1,6,Llama 3.1 8b,0.917,1.0,12
MS-LS1-5,Construct a scientific explanation based on evidence for how environmental and genetic factors influence the growth of organisms.,MS-LS1,6,OSS 20b,1.0,1.0,10
MS-LS1-6,Construct a scientific explanation based on evidence for the role of photosynthesis in the cycling of matter and flow of energy into and out of organisms.,MS-LS1,6,Gemma 3 27b,0.875,1.0,8
MS-LS1-7,Develop a model to describe how food is rearranged through chemical reactions forming new molecules that support growth and/or release energy as this matter moves through an organism.,MS-LS1,6,Granite 3.3 Instruct,0.8,0.8,10
MS-LS1-8,Gather and synthesize information that sensory receptors respond to stimuli by sending messages to the brain for immediate behavior or storage as memories.,MS-LS1,6,Granite 3.3 Instruct,1.0,0.889,9
MS-LS1-1,Conduct an investigation to provide evidence that living things are made of cells; either one cell or many different numbers and types of cells.,MS-LS1,7,Mistral Small 3.1,0.769,0.846,13
MS-LS1-2,Develop and use a model to describe the function of a cell as a whole and ways the parts of cells contribute to the function.,MS-LS1,7,Llama 3.3 70b,0.889,1.0,9
MS-LS1-3,Use argument supported by evidence for how the body is a system of interacting subsystems composed of groups of cells.,MS-LS1,7,OSS 20b,0.944,1.0,18
MS-LS1-4,Use argument based on empirical evidence and scientific reasoning to support an explanation for how characteristic animal behaviors and specialized plant structures affect the probability of successful reproduction of animals and plants respectively.,MS-LS1,7,OSS 20b,0.917,1.0,12
MS-LS1-5,Construct a scientific explanation based on evidence for how environmental and genetic factors influence the growth of organisms.,MS-LS1,7,Gemma 4 31b,0.9,1.0,10
MS-LS1-6,Construct a scientific explanation based on evidence for the role of photosynthesis in the cycling of matter and flow of energy into and out of organisms.,MS-LS1,7,Granite 3.3 Instruct,0.875,1.0,8
MS-LS1-7,Develop a model to describe how food is rearranged through chemical reactions forming new molecules that support growth and/or release energy as this matter moves through an organism.,MS-LS1,7,Mistral Small 3.1,0.8,0.8,10
MS-LS1-8,Gather and synthesize information that sensory receptors respond to stimuli by sending messages to the brain for immediate behavior or storage as memories.,MS-LS1,7,Gemma 4 31b,0.889,0.889,9
MS-LS1-1,Conduct an investigation to provide evidence that living things are made of cells; either one cell or many different numbers and types of cells.,MS-LS1,8,Granite 3.3 Instruct,0.769,0.692,13
MS-LS1-2,Develop and use a model to describe the function of a cell as a whole and ways the parts of cells contribute to the function.,MS-LS1,8,Mistral Small 3.1,0.889,1.0,9
MS-LS1-3,Use argument supported by evidence for how the body is a system of interacting subsystems composed of groups of cells.,MS-LS1,8,Granite 3.3 Instruct,0.889,0.944,18
MS-LS1-4,Use argument based on empirical evidence and scientific reasoning to support an explanation for how characteristic animal behaviors and specialized plant structures affect the probability of successful reproduction of animals and plants respectively.,MS-LS1,8,Llama 3.3 70b,0.917,0.917,12
MS-LS1-5,Construct a scientific explanation based on evidence for how environmental and genetic factors influence the growth of organisms.,MS-LS1,8,Llama 3.3 70b,0.9,1.0,10
MS-LS1-6,Construct a scientific explanation based on evidence for the role of photosynthesis in the cycling of matter and flow of energy into and out of organisms.,MS-LS1,8,OSS 20b,0.875,1.0,8
MS-LS1-7,Develop a model to describe how food is rearranged through chemical reactions forming new molecules that support growth and/or release energy as this matter moves through an organism.,MS-LS1,8,Llama 3.1 8b,0.7,0.7,10
MS-LS1-8,Gather and synthesize information that sensory receptors respond to stimuli by sending messages to the brain for immediate behavior or storage as memories.,MS-LS1,8,OSS 20b,0.889,0.889,9
MS-LS1-1,Conduct an investigation to provide evidence that living things are made of cells; either one cell or many different numbers and types of cells.,MS-LS1,9,Llama 3.1 8b,0.769,0.615,13
MS-LS1-2,Develop and use a model to describe the function of a cell as a whole and ways the parts of cells contribute to the function.,MS-LS1,9,Llama 3.1 8b,0.889,0.889,9
MS-LS1-3,Use argument supported by evidence for how the body is a system of interacting subsystems composed of groups of cells.,MS-LS1,9,Llama 3.1 8b,0.889,0.889,18
MS-LS1-4,Use argument based on empirical evidence and scientific reasoning to support an explanation for how characteristic animal behaviors and specialized plant structures affect the probability of successful reproduction of animals and plants respectively.,MS-LS1,9,Mistral Small 3.1,0.833,0.917,12
MS-LS1-5,Construct a scientific explanation based on evidence for how environmental and genetic factors influence the growth of organisms.,MS-LS1,9,Mistral Small 3.1,0.9,1.0,10
MS-LS1-6,Construct a scientific explanation based on evidence for the role of photosynthesis in the cycling of matter and flow of energy into and out of organisms.,MS-LS1,9,Llama 3.1 8b,0.625,0.75,8
MS-LS1-7,Develop a model to describe how food is rearranged through chemical reactions forming new molecules that support growth and/or release energy as this matter moves through an organism.,MS-LS1,9,Llama 3.3 70b,0.7,0.7,10
MS-LS1-8,Gather and synthesize information that sensory receptors respond to stimuli by sending messages to the brain for immediate behavior or storage as memories.,MS-LS1,9,Mistral Small 3.1,0.778,0.889,9
MS-LS2-1,Analyze and interpret data to provide evidence for the effects of resource availability on organisms and populations of organisms in an ecosystem.,MS-LS2,1,Nemotron 3 Nano 30ba3,0.958,0.958,24
MS-LS2-2,Construct an explanation that predicts patterns of interactions among organisms across multiple ecosystems.,MS-LS2,1,Gemma 4 31b,1.0,1.0,17
MS-LS2-3,Develop a model to describe the cycling of matter and flow of energy among living and nonliving parts of an ecosystem.,MS-LS2,1,OSS 120b,1.0,1.0,33
MS-LS2-4,Construct an argument supported by empirical evidence that changes to physical or biological components of an ecosystem affect populations.,MS-LS2,1,Gemma 3 27b,1.0,1.0,14
MS-LS2-5,Evaluate competing design solutions for maintaining biodiversity and ecosystem services.,MS-LS2,1,Gemma 3 27b,1.0,1.0,8
MS-LS2-1,Analyze and interpret data to provide evidence for the effects of resource availability on organisms and populations of organisms in an ecosystem.,MS-LS2,2,OSS 20b,0.958,0.958,24
MS-LS2-2,Construct an explanation that predicts patterns of interactions among organisms across multiple ecosystems.,MS-LS2,2,Llama 3.3 70b,1.0,1.0,17
MS-LS2-3,Develop a model to describe the cycling of matter and flow of energy among living and nonliving parts of an ecosystem.,MS-LS2,2,Mistral Small 3.1,0.939,1.0,33
MS-LS2-4,Construct an argument supported by empirical evidence that changes to physical or biological components of an ecosystem affect populations.,MS-LS2,2,Gemma 4 31b,1.0,1.0,14
MS-LS2-5,Evaluate competing design solutions for maintaining biodiversity and ecosystem services.,MS-LS2,2,Gemma 4 31b,1.0,1.0,8
MS-LS2-1,Analyze and interpret data to provide evidence for the effects of resource availability on organisms and populations of organisms in an ecosystem.,MS-LS2,3,Granite 3.3 Instruct,0.875,0.958,24
MS-LS2-2,Construct an explanation that predicts patterns of interactions among organisms across multiple ecosystems.,MS-LS2,3,Nemotron 3 Nano 30ba3,1.0,1.0,17
MS-LS2-3,Develop a model to describe the cycling of matter and flow of energy among living and nonliving parts of an ecosystem.,MS-LS2,3,Nemotron 3 Nano 30ba3,0.909,1.0,33
MS-LS2-4,Construct an argument supported by empirical evidence that changes to physical or biological components of an ecosystem affect populations.,MS-LS2,3,Llama 3.3 70b,1.0,1.0,14
MS-LS2-5,Evaluate competing design solutions for maintaining biodiversity and ecosystem services.,MS-LS2,3,Granite 3.3 Instruct,1.0,1.0,8
MS-LS2-1,Analyze and interpret data to provide evidence for the effects of resource availability on organisms and populations of organisms in an ecosystem.,MS-LS2,4,Llama 3.1 8b,0.875,0.958,24
MS-LS2-2,Construct an explanation that predicts patterns of interactions among organisms across multiple ecosystems.,MS-LS2,4,OSS 120b,1.0,1.0,17
MS-LS2-3,Develop a model to describe the cycling of matter and flow of energy among living and nonliving parts of an ecosystem.,MS-LS2,4,OSS 20b,0.879,1.0,33
MS-LS2-4,Construct an argument supported by empirical evidence that changes to physical or biological components of an ecosystem affect populations.,MS-LS2,4,Mistral Small 3.1,1.0,1.0,14
MS-LS2-5,Evaluate competing design solutions for maintaining biodiversity and ecosystem services.,MS-LS2,4,Llama 3.1 8b,1.0,1.0,8
MS-LS2-1,Analyze and interpret data to provide evidence for the effects of resource availability on organisms and populations of organisms in an ecosystem.,MS-LS2,5,Gemma 3 27b,0.917,0.917,24
MS-LS2-2,Construct an explanation that predicts patterns of interactions among organisms across multiple ecosystems.,MS-LS2,5,Mistral Small 3.1,0.941,1.0,17
MS-LS2-3,Develop a model to describe the cycling of matter and flow of energy among living and nonliving parts of an ecosystem.,MS-LS2,5,Gemma 4 31b,0.97,0.97,33
MS-LS2-4,Construct an argument supported by empirical evidence that changes to physical or biological components of an ecosystem affect populations.,MS-LS2,5,Nemotron 3 Nano 30ba3,1.0,1.0,14
MS-LS2-5,Evaluate competing design solutions for maintaining biodiversity and ecosystem services.,MS-LS2,5,Llama 3.3 70b,1.0,1.0,8
MS-LS2-1,Analyze and interpret data to provide evidence for the effects of resource availability on organisms and populations of organisms in an ecosystem.,MS-LS2,6,Gemma 4 31b,0.917,0.917,24
MS-LS2-2,Construct an explanation that predicts patterns of interactions among organisms across multiple ecosystems.,MS-LS2,6,OSS 20b,0.941,1.0,17
MS-LS2-3,Develop a model to describe the cycling of matter and flow of energy among living and nonliving parts of an ecosystem.,MS-LS2,6,Gemma 3 27b,0.939,0.97,33
MS-LS2-4,Construct an argument supported by empirical evidence that changes to physical or biological components of an ecosystem affect populations.,MS-LS2,6,OSS 120b,1.0,1.0,14
MS-LS2-5,Evaluate competing design solutions for maintaining biodiversity and ecosystem services.,MS-LS2,6,Mistral Small 3.1,1.0,1.0,8
MS-LS2-1,Analyze and interpret data to provide evidence for the effects of resource availability on organisms and populations of organisms in an ecosystem.,MS-LS2,7,Llama 3.3 70b,0.917,0.917,24
MS-LS2-2,Construct an explanation that predicts patterns of interactions among organisms across multiple ecosystems.,MS-LS2,7,Gemma 3 27b,0.941,0.941,17
MS-LS2-3,Develop a model to describe the cycling of matter and flow of energy among living and nonliving parts of an ecosystem.,MS-LS2,7,Llama 3.3 70b,0.909,0.939,33
MS-LS2-4,Construct an argument supported by empirical evidence that changes to physical or biological components of an ecosystem affect populations.,MS-LS2,7,OSS 20b,0.929,1.0,14
MS-LS2-5,Evaluate competing design solutions for maintaining biodiversity and ecosystem services.,MS-LS2,7,Nemotron 3 Nano 30ba3,1.0,1.0,8
MS-LS2-1,Analyze and interpret data to provide evidence for the effects of resource availability on organisms and populations of organisms in an ecosystem.,MS-LS2,8,OSS 120b,0.917,0.917,24
MS-LS2-2,Construct an explanation that predicts patterns of interactions among organisms across multiple ecosystems.,MS-LS2,8,Granite 3.3 Instruct,0.882,0.941,17
MS-LS2-3,Develop a model to describe the cycling of matter and flow of energy among living and nonliving parts of an ecosystem.,MS-LS2,8,Granite 3.3 Instruct,0.909,0.909,33
MS-LS2-4,Construct an argument supported by empirical evidence that changes to physical or biological components of an ecosystem affect populations.,MS-LS2,8,Granite 3.3 Instruct,0.929,0.929,14
MS-LS2-5,Evaluate competing design solutions for maintaining biodiversity and ecosystem services.,MS-LS2,8,OSS 120b,1.0,1.0,8
MS-LS2-1,Analyze and interpret data to provide evidence for the effects of resource availability on organisms and populations of organisms in an ecosystem.,MS-LS2,9,Mistral Small 3.1,0.875,0.917,24
MS-LS2-2,Construct an explanation that predicts patterns of interactions among organisms across multiple ecosystems.,MS-LS2,9,Llama 3.1 8b,1.0,0.882,17
MS-LS2-3,Develop a model to describe the cycling of matter and flow of energy among living and nonliving parts of an ecosystem.,MS-LS2,9,Llama 3.1 8b,0.818,0.818,33
MS-LS2-4,Construct an argument supported by empirical evidence that changes to physical or biological components of an ecosystem affect populations.,MS-LS2,9,Llama 3.1 8b,0.929,0.929,14
MS-LS2-5,Evaluate competing design solutions for maintaining biodiversity and ecosystem services.,MS-LS2,9,OSS 20b,1.0,1.0,8
MS-LS3-1,"Develop and use a model to describe why structural changes to genes (mutations) located on chromosomes may affect proteins and may result in harmful, beneficial, or neutral effects to the structure and function of the organism.",MS-LS3,1,OSS 120b,1.0,1.0,48
MS-LS3-2,Develop and use a model to describe why asexual reproduction results in offspring with identical genetic information and sexual reproduction results in offspring with genetic variation.,MS-LS3,1,Nemotron 3 Nano 30ba3,1.0,1.0,37
MS-LS3-1,"Develop and use a model to describe why structural changes to genes (mutations) located on chromosomes may affect proteins and may result in harmful, beneficial, or neutral effects to the structure and function of the organism.",MS-LS3,2,Gemma 4 31b,0.979,1.0,48
MS-LS3-2,Develop and use a model to describe why asexual reproduction results in offspring with identical genetic information and sexual reproduction results in offspring with genetic variation.,MS-LS3,2,OSS 120b,1.0,1.0,37
MS-LS3-1,"Develop and use a model to describe why structural changes to genes (mutations) located on chromosomes may affect proteins and may result in harmful, beneficial, or neutral effects to the structure and function of the organism.",MS-LS3,3,OSS 20b,0.979,1.0,48
MS-LS3-2,Develop and use a model to describe why asexual reproduction results in offspring with identical genetic information and sexual reproduction results in offspring with genetic variation.,MS-LS3,3,Gemma 4 31b,0.973,1.0,37
MS-LS3-1,"Develop and use a model to describe why structural changes to genes (mutations) located on chromosomes may affect proteins and may result in harmful, beneficial, or neutral effects to the structure and function of the organism.",MS-LS3,4,Llama 3.3 70b,0.958,1.0,48
MS-LS3-2,Develop and use a model to describe why asexual reproduction results in offspring with identical genetic information and sexual reproduction results in offspring with genetic variation.,MS-LS3,4,Mistral Small 3.1,1.0,0.973,37
MS-LS3-1,"Develop and use a model to describe why structural changes to genes (mutations) located on chromosomes may affect proteins and may result in harmful, beneficial, or neutral effects to the structure and function of the organism.",MS-LS3,5,Nemotron 3 Nano 30ba3,0.958,1.0,48
MS-LS3-2,Develop and use a model to describe why asexual reproduction results in offspring with identical genetic information and sexual reproduction results in offspring with genetic variation.,MS-LS3,5,OSS 20b,0.973,0.973,37
MS-LS3-1,"Develop and use a model to describe why structural changes to genes (mutations) located on chromosomes may affect proteins and may result in harmful, beneficial, or neutral effects to the structure and function of the organism.",MS-LS3,6,Mistral Small 3.1,0.938,0.979,48
MS-LS3-2,Develop and use a model to describe why asexual reproduction results in offspring with identical genetic information and sexual reproduction results in offspring with genetic variation.,MS-LS3,6,Llama 3.3 70b,0.919,0.973,37
MS-LS3-1,"Develop and use a model to describe why structural changes to genes (mutations) located on chromosomes may affect proteins and may result in harmful, beneficial, or neutral effects to the structure and function of the organism.",MS-LS3,7,Llama 3.1 8b,0.938,0.958,48
MS-LS3-2,Develop and use a model to describe why asexual reproduction results in offspring with identical genetic information and sexual reproduction results in offspring with genetic variation.,MS-LS3,7,Gemma 3 27b,0.919,0.919,37
MS-LS3-1,"Develop and use a model to describe why structural changes to genes (mutations) located on chromosomes may affect proteins and may result in harmful, beneficial, or neutral effects to the structure and function of the organism.",MS-LS3,8,Gemma 3 27b,0.938,0.938,48
MS-LS3-2,Develop and use a model to describe why asexual reproduction results in offspring with identical genetic information and sexual reproduction results in offspring with genetic variation.,MS-LS3,8,Llama 3.1 8b,0.838,0.811,37
MS-LS3-1,"Develop and use a model to describe why structural changes to genes (mutations) located on chromosomes may affect proteins and may result in harmful, beneficial, or neutral effects to the structure and function of the organism.",MS-LS3,9,Granite 3.3 Instruct,0.917,0.938,48
MS-LS3-2,Develop and use a model to describe why asexual reproduction results in offspring with identical genetic information and sexual reproduction results in offspring with genetic variation.,MS-LS3,9,Granite 3.3 Instruct,0.811,0.784,37
MS-LS4-1,"Analyze and interpret data for patterns in the fossil record that document the existence, diversity, extinction, and change of life forms throughout the history of life on Earth under the assumption that natural laws operate today as in the past.",MS-LS4,1,Gemma 3 27b,1.0,1.0,27
MS-LS4-2,Apply scientific ideas to construct an explanation for the anatomical similarities and differences among modern organisms and between modern and fossil organisms to infer evolutionary relationships.,MS-LS4,1,Gemma 4 31b,1.0,1.0,25
MS-LS4-3,Analyze displays of pictorial data to compare patterns of similarities in the embryological development across multiple species to identify relationships not evident in the fully formed anatomy.,MS-LS4,1,Gemma 4 31b,1.0,1.0,12
MS-LS4-4,Construct an explanation based on evidence that describes how genetic variations of traits in a population increase some individuals' probability of surviving and reproducing in a specific environment.,MS-LS4,1,Gemma 3 27b,1.0,1.0,9
MS-LS4-5,Gather and synthesize information about technologies that have changed the way humans influence the inheritance of desired traits in organisms.,MS-LS4,1,Gemma 3 27b,1.0,1.0,5
MS-LS4-6,Use mathematical representations to support explanations of how natural selection may lead to increases and decreases of specific traits in populations over time.,MS-LS4,1,Gemma 3 27b,1.0,1.0,11
MS-LS4-1,"Analyze and interpret data for patterns in the fossil record that document the existence, diversity, extinction, and change of life forms throughout the history of life on Earth under the assumption that natural laws operate today as in the past.",MS-LS4,2,Mistral Small 3.1,1.0,1.0,27
MS-LS4-2,Apply scientific ideas to construct an explanation for the anatomical similarities and differences among modern organisms and between modern and fossil organisms to infer evolutionary relationships.,MS-LS4,2,Gemma 3 27b,0.96,1.0,25
MS-LS4-3,Analyze displays of pictorial data to compare patterns of similarities in the embryological development across multiple species to identify relationships not evident in the fully formed anatomy.,MS-LS4,2,OSS 120b,1.0,1.0,12
MS-LS4-4,Construct an explanation based on evidence that describes how genetic variations of traits in a population increase some individuals' probability of surviving and reproducing in a specific environment.,MS-LS4,2,Gemma 4 31b,1.0,1.0,9
MS-LS4-5,Gather and synthesize information about technologies that have changed the way humans influence the inheritance of desired traits in organisms.,MS-LS4,2,Gemma 4 31b,1.0,1.0,5
MS-LS4-6,Use mathematical representations to support explanations of how natural selection may lead to increases and decreases of specific traits in populations over time.,MS-LS4,2,Gemma 4 31b,1.0,1.0,11
MS-LS4-1,"Analyze and interpret data for patterns in the fossil record that document the existence, diversity, extinction, and change of life forms throughout the history of life on Earth under the assumption that natural laws operate today as in the past.",MS-LS4,3,Nemotron 3 Nano 30ba3,1.0,1.0,27
MS-LS4-2,Apply scientific ideas to construct an explanation for the anatomical similarities and differences among modern organisms and between modern and fossil organisms to infer evolutionary relationships.,MS-LS4,3,OSS 120b,0.96,1.0,25
MS-LS4-3,Analyze displays of pictorial data to compare patterns of similarities in the embryological development across multiple species to identify relationships not evident in the fully formed anatomy.,MS-LS4,3,Nemotron 3 Nano 30ba3,0.833,1.0,12
MS-LS4-4,Construct an explanation based on evidence that describes how genetic variations of traits in a population increase some individuals' probability of surviving and reproducing in a specific environment.,MS-LS4,3,Mistral Small 3.1,1.0,1.0,9
MS-LS4-5,Gather and synthesize information about technologies that have changed the way humans influence the inheritance of desired traits in organisms.,MS-LS4,3,Granite 3.3 Instruct,1.0,1.0,5
MS-LS4-6,Use mathematical representations to support explanations of how natural selection may lead to increases and decreases of specific traits in populations over time.,MS-LS4,3,Llama 3.3 70b,1.0,1.0,11
MS-LS4-1,"Analyze and interpret data for patterns in the fossil record that document the existence, diversity, extinction, and change of life forms throughout the history of life on Earth under the assumption that natural laws operate today as in the past.",MS-LS4,4,OSS 120b,1.0,1.0,27
MS-LS4-2,Apply scientific ideas to construct an explanation for the anatomical similarities and differences among modern organisms and between modern and fossil organisms to infer evolutionary relationships.,MS-LS4,4,Nemotron 3 Nano 30ba3,0.92,1.0,25
MS-LS4-3,Analyze displays of pictorial data to compare patterns of similarities in the embryological development across multiple species to identify relationships not evident in the fully formed anatomy.,MS-LS4,4,OSS 20b,0.833,0.917,12
MS-LS4-4,Construct an explanation based on evidence that describes how genetic variations of traits in a population increase some individuals' probability of surviving and reproducing in a specific environment.,MS-LS4,4,Nemotron 3 Nano 30ba3,1.0,1.0,9
MS-LS4-5,Gather and synthesize information about technologies that have changed the way humans influence the inheritance of desired traits in organisms.,MS-LS4,4,Llama 3.3 70b,1.0,1.0,5
MS-LS4-6,Use mathematical representations to support explanations of how natural selection may lead to increases and decreases of specific traits in populations over time.,MS-LS4,4,Mistral Small 3.1,1.0,1.0,11
MS-LS4-1,"Analyze and interpret data for patterns in the fossil record that document the existence, diversity, extinction, and change of life forms throughout the history of life on Earth under the assumption that natural laws operate today as in the past.",MS-LS4,5,Gemma 4 31b,0.963,1.0,27
MS-LS4-2,Apply scientific ideas to construct an explanation for the anatomical similarities and differences among modern organisms and between modern and fossil organisms to infer evolutionary relationships.,MS-LS4,5,Llama 3.3 70b,0.92,0.96,25
MS-LS4-3,Analyze displays of pictorial data to compare patterns of similarities in the embryological development across multiple species to identify relationships not evident in the fully formed anatomy.,MS-LS4,5,Llama 3.3 70b,0.833,0.833,12
MS-LS4-4,Construct an explanation based on evidence that describes how genetic variations of traits in a population increase some individuals' probability of surviving and reproducing in a specific environment.,MS-LS4,5,OSS 120b,1.0,1.0,9
MS-LS4-5,Gather and synthesize information about technologies that have changed the way humans influence the inheritance of desired traits in organisms.,MS-LS4,5,Nemotron 3 Nano 30ba3,1.0,1.0,5
MS-LS4-6,Use mathematical representations to support explanations of how natural selection may lead to increases and decreases of specific traits in populations over time.,MS-LS4,5,Nemotron 3 Nano 30ba3,1.0,1.0,11
